"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
34,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
19,"11th,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
21,"HS-grad,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
36,"HS-grad,","Never-married,","Farming-fishing,","Male,","50,","United-States,","<=50K"
37,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Female,","40,","United-States,",">50K"
43,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Female,","21,","Trinadad&Tobago,","<=50K"
52,"Bachelors,","Married-civ-spouse,","Protective-serv,","Male,","40,","United-States,","<=50K"
48,"Assoc-voc,","Divorced,","Other-service,","Female,","40,","?,","<=50K"
43,"Some-college,","Divorced,","Prof-specialty,","Female,","38,","United-States,","<=50K"
22,"HS-grad,","Never-married,","Other-service,","Male,","40,","United-States,","<=50K"
57,"5th-6th,","Divorced,","Transport-moving,","Male,","40,","United-States,","<=50K"
37,"Assoc-acdm,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
39,"Some-college,","Divorced,","Sales,","Female,","38,","United-States,","<=50K"
54,"Some-college,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
27,"Assoc-acdm,","Never-married,","Other-service,","Male,","40,","United-States,","<=50K"
21,"HS-grad,","Never-married,","Adm-clerical,","Female,","35,","United-States,","<=50K"
65,"Some-college,","Separated,","Adm-clerical,","Female,","38,","United-States,","<=50K"
30,"Some-college,","Married-civ-spouse,","Other-service,","Female,","40,","United-States,","<=50K"
22,"9th,","Never-married,","Machine-op-inspct,","Female,","40,","United-States,","<=50K"
26,"Bachelors,","Married-civ-spouse,","Sales,","Male,","50,","United-States,","<=50K"
25,"11th,","Separated,","Craft-repair,","Male,","40,","United-States,","<=50K"
35,"Assoc-voc,","Married-civ-spouse,","?,","Female,","40,","United-States,",">50K"
47,"Assoc-voc,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
23,"Assoc-acdm,","Never-married,","Other-service,","Male,","60,","United-States,","<=50K"
42,"HS-grad,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
39,"Some-college,","Never-married,","Craft-repair,","Male,","30,","United-States,","<=50K"
55,"Doctorate,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,",">50K"
24,"Masters,","Married-spouse-absent,","Prof-specialty,","Female,","10,","China,","<=50K"
46,"Bachelors,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","?,",">50K"
53,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
44,"11th,","Separated,","Other-service,","Female,","60,","United-States,","<=50K"
40,"HS-grad,","Separated,","Transport-moving,","Female,","40,","United-States,","<=50K"
48,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
26,"Assoc-voc,","Separated,","Adm-clerical,","Female,","35,","United-States,","<=50K"
22,"HS-grad,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
35,"HS-grad,","Married-civ-spouse,","?,","Female,","12,","United-States,","<=50K"
20,"Some-college,","Never-married,","?,","Female,","20,","United-States,","<=50K"
43,"HS-grad,","Divorced,","Exec-managerial,","Female,","40,","United-States,","<=50K"
37,"HS-grad,","Married-civ-spouse,","Other-service,","Female,","25,","United-States,","<=50K"
30,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","Laos,","<=50K"
41,"HS-grad,","Married-civ-spouse,","Sales,","Male,","50,","United-States,","<=50K"
38,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Male,","60,","United-States,",">50K"
77,"9th,","Married-civ-spouse,","?,","Male,","40,","United-States,","<=50K"
42,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","50,","United-States,","<=50K"
20,"HS-grad,","Never-married,","Transport-moving,","Male,","40,","United-States,","<=50K"
36,"Bachelors,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
32,"Assoc-voc,","Never-married,","Prof-specialty,","Male,","40,","United-States,","<=50K"
27,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
25,"Some-college,","Divorced,","Protective-serv,","Male,","45,","United-States,","<=50K"
40,"Masters,","Never-married,","Exec-managerial,","Male,","40,","United-States,","<=50K"
18,"11th,","Never-married,","?,","Male,","25,","United-States,","<=50K"
49,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","45,","United-States,",">50K"
17,"11th,","Never-married,","Other-service,","Female,","16,","United-States,","<=50K"
29,"HS-grad,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
47,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Male,","55,","Taiwan,",">50K"
24,"Some-college,","Separated,","Handlers-cleaners,","Male,","45,","United-States,","<=50K"
58,"7th-8th,","Married-civ-spouse,","?,","Male,","24,","United-States,","<=50K"
29,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
45,"Some-college,","Married-civ-spouse,","Adm-clerical,","Female,","24,","Canada,",">50K"
30,"12th,","Married-civ-spouse,","Craft-repair,","Male,","50,","United-States,","<=50K"
19,"Some-college,","Never-married,","Adm-clerical,","Male,","20,","United-States,","<=50K"
59,"10th,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,",">50K"
47,"7th-8th,","Married-spouse-absent,","Other-service,","Female,","30,","United-States,","<=50K"
41,"Some-college,","Married-civ-spouse,","Tech-support,","Male,","40,","United-States,","<=50K"
28,"Assoc-acdm,","Never-married,","Prof-specialty,","Male,","40,","France,","<=50K"
46,"Assoc-acdm,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
40,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","60,","United-States,","<=50K"
66,"10th,","Divorced,","Other-service,","Female,","40,","United-States,","<=50K"
30,"Bachelors,","Never-married,","Prof-specialty,","Male,","45,","?,",">50K"
44,"Some-college,","Never-married,","Craft-repair,","Male,","12,","United-States,","<=50K"
58,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,",">50K"
21,"7th-8th,","Never-married,","Other-service,","Male,","48,","Mexico,","<=50K"
59,"9th,","Widowed,","Other-service,","Female,","40,","United-States,","<=50K"
35,"Some-college,","Married-civ-spouse,","Other-service,","Male,","40,","United-States,","<=50K"
45,"9th,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,",">50K"
30,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
33,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","40,","Jamaica,","<=50K"
26,"Some-college,","Never-married,","Sales,","Female,","15,","United-States,","<=50K"
48,"Some-college,","Separated,","Sales,","Female,","35,","United-States,","<=50K"
31,"HS-grad,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
36,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","45,","United-States,","<=50K"
48,"HS-grad,","Divorced,","Prof-specialty,","Female,","38,","United-States,","<=50K"
30,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
33,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","50,","United-States,",">50K"
19,"9th,","Never-married,","?,","Female,","25,","United-States,","<=50K"
37,"Assoc-acdm,","Married-civ-spouse,","Prof-specialty,","Female,","40,","?,",">50K"
53,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","45,","United-States,",">50K"
18,"Some-college,","Never-married,","Other-service,","Female,","40,","?,","<=50K"
38,"Some-college,","Married-civ-spouse,","Transport-moving,","Male,","50,","United-States,",">50K"
34,"Some-college,","Never-married,","Other-service,","Male,","50,","United-States,","<=50K"
45,"Bachelors,","Married-civ-spouse,","Sales,","Male,","52,","United-States,",">50K"
33,"Assoc-voc,","Married-civ-spouse,","Prof-specialty,","Male,","60,","United-States,","<=50K"
35,"Assoc-voc,","Married-civ-spouse,","Craft-repair,","Female,","44,","United-States,","<=50K"
22,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
35,"HS-grad,","Divorced,","Other-service,","Female,","30,","United-States,","<=50K"
45,"HS-grad,","Married-civ-spouse,","Prof-specialty,","Male,","8,","United-States,","<=50K"
17,"11th,","Never-married,","Farming-fishing,","Male,","45,","United-States,","<=50K"
50,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","45,","United-States,","<=50K"
38,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,",">50K"
33,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","50,","United-States,",">50K"
46,"HS-grad,","Married-civ-spouse,","Sales,","Male,","35,","?,","<=50K"
25,"Bachelors,","Never-married,","Sales,","Female,","50,","United-States,","<=50K"
64,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
62,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","10,","United-States,","<=50K"
32,"HS-grad,","Married-civ-spouse,","Tech-support,","Male,","60,","United-States,",">50K"
17,"11th,","Never-married,","Sales,","Male,","20,","United-States,","<=50K"
61,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","55,","United-States,","<=50K"
40,"Doctorate,","Never-married,","Prof-specialty,","Female,","40,","United-States,","<=50K"
21,"HS-grad,","Never-married,","Exec-managerial,","Female,","40,","United-States,","<=50K"
39,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
35,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","45,","United-States,","<=50K"
29,"Assoc-voc,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,","<=50K"
27,"Assoc-acdm,","Never-married,","Transport-moving,","Male,","40,","United-States,","<=50K"
20,"Assoc-acdm,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
34,"Some-college,","Married-civ-spouse,","?,","Female,","20,","United-States,",">50K"
51,"Masters,","Never-married,","Prof-specialty,","Male,","40,","United-States,","<=50K"
45,"HS-grad,","Separated,","Machine-op-inspct,","Female,","15,","United-States,","<=50K"
20,"Some-college,","Never-married,","?,","Female,","40,","United-States,","<=50K"
31,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
29,"HS-grad,","Never-married,","Tech-support,","Male,","40,","United-States,","<=50K"
56,"Bachelors,","Married-civ-spouse,","Adm-clerical,","Male,","30,","Canada,","<=50K"
55,"Some-college,","Divorced,","Tech-support,","Female,","12,","United-States,",">50K"
26,"Some-college,","Never-married,","Tech-support,","Male,","20,","United-States,","<=50K"
46,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","45,","United-States,",">50K"
32,"HS-grad,","Married-civ-spouse,","Other-service,","Male,","40,","United-States,","<=50K"
28,"HS-grad,","Married-civ-spouse,","Sales,","Male,","40,","United-States,","<=50K"
27,"7th-8th,","Never-married,","Other-service,","Male,","35,","Guatemala,","<=50K"
23,"9th,","Married-spouse-absent,","Craft-repair,","Male,","40,","Mexico,","<=50K"
59,"10th,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
26,"12th,","Never-married,","Craft-repair,","Male,","48,","Guatemala,","<=50K"
36,"10th,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
18,"HS-grad,","Never-married,","Sales,","Female,","15,","United-States,","<=50K"
33,"9th,","Divorced,","Handlers-cleaners,","Male,","70,","United-States,","<=50K"
60,"Assoc-voc,","Married-civ-spouse,","Transport-moving,","Female,","15,","Germany,",">50K"
40,"HS-grad,","Divorced,","Machine-op-inspct,","Female,","48,","Mexico,","<=50K"
48,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","43,","United-States,","<=50K"
27,"10th,","Married-civ-spouse,","Craft-repair,","Male,","48,","United-States,","<=50K"
19,"Some-college,","Never-married,","Other-service,","Male,","20,","United-States,","<=50K"
38,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,",">50K"
26,"Some-college,","Divorced,","Craft-repair,","Male,","43,","United-States,","<=50K"
45,"Assoc-voc,","Married-civ-spouse,","Protective-serv,","Male,","40,","United-States,","<=50K"
20,"Some-college,","Never-married,","Adm-clerical,","Female,","20,","United-States,","<=50K"
32,"HS-grad,","Divorced,","Craft-repair,","Male,","40,","United-States,","<=50K"
22,"Some-college,","Never-married,","Handlers-cleaners,","Female,","13,","United-States,","<=50K"
22,"HS-grad,","Never-married,","Adm-clerical,","Male,","40,","United-States,","<=50K"
38,"HS-grad,","Never-married,","Other-service,","Female,","38,","United-States,","<=50K"
34,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","50,","United-States,",">50K"
46,"1st-4th,","Widowed,","Other-service,","Female,","30,","Mexico,","<=50K"
39,"Bachelors,","Divorced,","Exec-managerial,","Female,","25,","United-States,","<=50K"
79,"HS-grad,","Widowed,","Other-service,","Female,","24,","United-States,","<=50K"
60,"Bachelors,","Married-civ-spouse,","?,","Male,","8,","United-States,",">50K"
24,"HS-grad,","Never-married,","Sales,","Male,","40,","Dominican-Republic,","<=50K"
31,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","65,","United-States,","<=50K"
37,"Bachelors,","Married-civ-spouse,","Sales,","Male,","77,","Vietnam,","<=50K"
23,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
31,"Some-college,","Married-civ-spouse,","Transport-moving,","Male,","45,","El-Salvador,","<=50K"
29,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
22,"Bachelors,","Never-married,","Prof-specialty,","Female,","43,","United-States,","<=50K"
69,"Some-college,","Widowed,","?,","Female,","20,","United-States,","<=50K"
55,"HS-grad,","Divorced,","Other-service,","Female,","38,","United-States,","<=50K"
43,"HS-grad,","Divorced,","Craft-repair,","Male,","40,","United-States,","<=50K"
23,"7th-8th,","Never-married,","Farming-fishing,","Male,","36,","Mexico,","<=50K"
29,"HS-grad,","Never-married,","Adm-clerical,","Male,","35,","Mexico,","<=50K"
22,"Assoc-voc,","Never-married,","Other-service,","Female,","40,","Mexico,","<=50K"
22,"Some-college,","Never-married,","Sales,","Male,","42,","United-States,","<=50K"
25,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","84,","United-States,",">50K"
29,"Some-college,","Never-married,","Machine-op-inspct,","Male,","45,","United-States,","<=50K"
25,"Some-college,","Never-married,","Transport-moving,","Male,","40,","United-States,","<=50K"
33,"HS-grad,","Never-married,","Exec-managerial,","Female,","40,","United-States,","<=50K"
33,"Bachelors,","Never-married,","Prof-specialty,","Male,","40,","United-States,",">50K"
31,"Doctorate,","Never-married,","Prof-specialty,","Female,","28,","United-States,","<=50K"
30,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","45,","United-States,",">50K"
55,"Bachelors,","Married-civ-spouse,","Sales,","Male,","40,","United-States,","<=50K"
36,"12th,","Never-married,","Exec-managerial,","Male,","50,","United-States,","<=50K"
47,"HS-grad,","Widowed,","?,","Female,","40,","United-States,","<=50K"
28,"Bachelors,","Never-married,","Sales,","Male,","40,","United-States,",">50K"
42,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
51,"Assoc-acdm,","Divorced,","Exec-managerial,","Male,","55,","Germany,","<=50K"
62,"Bachelors,","Divorced,","Prof-specialty,","Female,","40,","United-States,","<=50K"
65,"Some-college,","Married-civ-spouse,","Sales,","Male,","35,","United-States,",">50K"
23,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,","<=50K"
60,"HS-grad,","Married-civ-spouse,","?,","Male,","32,","United-States,","<=50K"
47,"7th-8th,","Married-civ-spouse,","Craft-repair,","Male,","60,","United-States,",">50K"
50,"HS-grad,","Divorced,","Exec-managerial,","Female,","40,","United-States,","<=50K"
70,"Bachelors,","Married-civ-spouse,","?,","Male,","6,","United-States,","<=50K"
32,"Bachelors,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
37,"Some-college,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
31,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,",">50K"
76,"10th,","Widowed,","Sales,","Female,","12,","United-States,","<=50K"
54,"Bachelors,","Divorced,","Sales,","Female,","60,","United-States,","<=50K"
32,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
31,"Some-college,","Never-married,","Adm-clerical,","Female,","52,","United-States,","<=50K"
31,"Bachelors,","Divorced,","Protective-serv,","Male,","50,","United-States,",">50K"
65,"Prof-school,","Divorced,","Prof-specialty,","Male,","40,","United-States,","<=50K"
30,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","60,","Ireland,",">50K"
63,"HS-grad,","Married-civ-spouse,","?,","Male,","40,","United-States,","<=50K"
21,"Some-college,","Never-married,","Prof-specialty,","Female,","10,","United-States,","<=50K"
40,"Masters,","Married-civ-spouse,","Tech-support,","Male,","40,","Philippines,",">50K"
26,"Some-college,","Never-married,","Craft-repair,","Female,","40,","United-States,","<=50K"
18,"11th,","Never-married,","Other-service,","Female,","8,","United-States,","<=50K"
34,"HS-grad,","Married-civ-spouse,","Other-service,","Male,","50,","United-States,","<=50K"
66,"Some-college,","Divorced,","Other-service,","Female,","40,","?,",">50K"
44,"Some-college,","Never-married,","Farming-fishing,","Male,","60,","United-States,","<=50K"
30,"Assoc-acdm,","Never-married,","Tech-support,","Female,","40,","United-States,","<=50K"
36,"Bachelors,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
31,"Some-college,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,",">50K"
22,"Some-college,","Never-married,","Sales,","Male,","20,","United-States,","<=50K"
28,"7th-8th,","Divorced,","?,","Male,","84,","United-States,","<=50K"
23,"HS-grad,","Never-married,","Sales,","Male,","40,","United-States,","<=50K"
49,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
39,"Bachelors,","Separated,","Craft-repair,","Male,","35,","United-States,","<=50K"
67,"Bachelors,","Married-civ-spouse,","?,","Male,","60,","United-States,",">50K"
19,"Some-college,","Never-married,","Handlers-cleaners,","Male,","16,","United-States,","<=50K"
30,"Assoc-acdm,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
25,"Some-college,","Never-married,","Craft-repair,","Female,","40,","Cambodia,","<=50K"
24,"HS-grad,","Never-married,","Transport-moving,","Male,","30,","?,","<=50K"
46,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
37,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","45,","United-States,","<=50K"
41,"HS-grad,","Married-civ-spouse,","Other-service,","Male,","40,","United-States,","<=50K"
40,"Some-college,","Married-civ-spouse,","Prof-specialty,","Male,","20,","United-States,","<=50K"
44,"HS-grad,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
32,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
58,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","20,","United-States,",">50K"
48,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","48,","United-States,","<=50K"
34,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,","<=50K"
29,"Assoc-voc,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
46,"Bachelors,","Married-civ-spouse,","Sales,","Male,","50,","United-States,",">50K"
36,"HS-grad,","Never-married,","Transport-moving,","Male,","40,","United-States,","<=50K"
59,"Bachelors,","Never-married,","Adm-clerical,","Male,","38,","United-States,","<=50K"
29,"12th,","Married-civ-spouse,","Transport-moving,","Male,","40,","Mexico,","<=50K"
50,"Masters,","Never-married,","?,","Male,","40,","United-States,","<=50K"
25,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
27,"Assoc-acdm,","Never-married,","Other-service,","Female,","35,","Philippines,","<=50K"
48,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","70,","United-States,","<=50K"
51,"Doctorate,","Never-married,","Prof-specialty,","Female,","70,","United-States,",">50K"
36,"HS-grad,","Divorced,","Transport-moving,","Male,","45,","United-States,",">50K"
42,"11th,","Divorced,","Sales,","Male,","50,","Puerto-Rico,",">50K"
49,"Bachelors,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,",">50K"
33,"Some-college,","Never-married,","Tech-support,","Male,","20,","United-States,","<=50K"
40,"Bachelors,","Divorced,","Sales,","Male,","60,","United-States,",">50K"
26,"Bachelors,","Never-married,","Prof-specialty,","Female,","40,","United-States,","<=50K"
69,"HS-grad,","Divorced,","?,","Female,","40,","United-States,",">50K"
59,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","30,","Italy,","<=50K"
30,"HS-grad,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
31,"Assoc-acdm,","Married-civ-spouse,","Adm-clerical,","Female,","35,","United-States,","<=50K"
30,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
27,"Bachelors,","Never-married,","Exec-managerial,","Female,","40,","United-States,","<=50K"
20,"Some-college,","Never-married,","?,","Female,","16,","United-States,","<=50K"
56,"Assoc-acdm,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
